tick,trip_no,lat,lng,step_to_next,mercato_x,mercato_y
1561947296.0,0,50.97648,6.97326,11.0,776259.7523691028,6617134.36109955
1561947300.0,1,50.92564,6.9297,10.0,771410.675350148,6608150.825141496
1561947300.0,4,50.96201,7.0036,7.0,779637.1857197707,6614576.480764365
1561947302.0,5,50.92645,6.95782,13.0,774540.9794312547,6608293.876864582
1561947304.0,3,50.93827,6.93992,11.0,772548.3605460551,6610381.655820083
1561947307.0,0,50.97682,6.973,11.0,776230.8093014966,6617194.472915905
1561947307.0,4,50.96201,7.00374,7.0,779652.7704484818,6614576.480764365
1561947310.0,1,50.92512,6.93003,10.0,771447.4107821097,6608058.990780181
1561947314.0,4,50.96204,7.00386,7.0,779666.1287873772,6614581.783078372
1561947315.0,5,50.92655,6.95494,13.0,774220.37929777,6608311.537743873
1561947318.0,0,50.97729,6.97261,11.0,776187.3947000873,6617277.5693867905
1561947320.0,1,50.92493,6.92965,10.0,771405.1093756082,6608025.4361734465
1561947321.0,4,50.96192,7.00391,7.0,779671.6947619168,6614560.573842899
1561947328.0,4,50.96195,7.00395,7.0,779676.1475415484,6614565.876146635
1561947328.0,5,50.92657,6.95485,13.0,774210.3605435988,6608315.069924291
1561947329.0,0,50.97837,6.97159,11.0,776073.8488194781,6617468.517655763
1561947330.0,1,50.92468,6.92907,10.0,771340.5440709481,6607981.285583901
1561947335.0,4,50.96198,7.00415,7.0,779698.411439707,6614571.178453788
1561947340.0,0,50.97976,6.97029,11.0,775929.1334814469,6617714.281686725
1561947340.0,1,50.92436,6.92819,10.0,771242.58291905,6607924.773175485
1561947341.0,5,50.92667,6.95469,13.0,774192.5494250718,6608332.730849139
